,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
,,,,,BRAND 2185,MARKET 88,"797,975,130"
,,,,,BRAND 2186,MARKET 27,"797,741,399"
,,,,,BRAND 2187,MARKET 14,"797,084,030"
,,,,,BRAND 2188,MARKET 121,"796,789,209"
,,,,,BRAND 2189,MARKET 47,"796,471,784"
,,,,,BRAND 2190,MARKET 170,"796,391,568"
,,,,,BRAND 2191,MARKET 42,"796,092,538"
,,,,,BRAND 2192,MARKET 53,"795,962,087"
,,,,,BRAND 2193,MARKET 13,"795,810,890"
,,,,,BRAND 2194,MARKET 17,"795,451,766"
,,,,,BRAND 2195,MARKET 09,"795,192,678"
,,,,,BRAND 2196,MARKET 159,"795,050,281"
,,,,,BRAND 2197,MARKET 42,"794,028,260"
,,,,,BRAND 2198,MARKET 102,"792,594,528"
,,,,,BRAND 2199,MARKET 08,"792,353,828"
,,,,,BRAND 2200,MARKET 23,"792,055,720"
,,,,,BRAND 2201,MARKET 23,"791,979,328"
,,,,,BRAND 2202,MARKET 88,"791,306,014"
,,,,,BRAND 2203,MARKET 42,"791,172,237"
,,,,,BRAND 2204,MARKET 23,"790,521,222"
,,,,,BRAND 2205,MARKET 55,"790,280,156"
,,,,,BRAND 2206,MARKET 23,"789,253,612"
,,,,,BRAND 2207,MARKET 60,"788,953,708"
,,,,,BRAND 2208,MARKET 53,"788,724,013"
,,,,,BRAND 2209,MARKET 58,"787,867,834"
,,,,,BRAND 2210,MARKET 31,"786,466,909"
,,,,,BRAND 2211,MARKET 08,"786,418,346"
,,,,,BRAND 2212,MARKET 19,"784,955,495"
,,,,,BRAND 2213,MARKET 150,"784,454,850"
,,,,,BRAND 2214,MARKET 01,"784,317,414"
,,,,,BRAND 2215,MARKET 50,"783,755,156"
,,,,,BRAND 2216,MARKET 18,"783,568,978"
,,,,,BRAND 2217,MARKET 03,"782,325,014"
,,,,,BRAND 2218,MARKET 08,"782,223,330"
,,,,,BRAND 2219,MARKET 03,"781,858,047"
,,,,,BRAND 2220,MARKET 80,"781,773,312"
,,,,,BRAND 2221,MARKET 72,"781,296,816"
,,,,,BRAND 2222,MARKET 32,"780,801,689"
,,,,,BRAND 2223,MARKET 115,"780,230,973"
,,,,,BRAND 2224,MARKET 55,"780,226,236"
,,,,,BRAND 2225,MARKET 13,"779,940,420"
,,,,,BRAND 2226,MARKET 11,"779,850,431"
,,,,,BRAND 2227,MARKET 11,"779,053,145"
,,,,,BRAND 2228,MARKET 176,"778,636,125"
,,,,,BRAND 2229,MARKET 23,"778,565,753"
,,,,,BRAND 2230,MARKET 23,"777,491,472"
,,,,,BRAND 2231,MARKET 13,"776,498,393"
,,,,,BRAND 2232,MARKET 23,"776,405,720"
,,,,,BRAND 2233,MARKET 15,"776,225,890"
,,,,,BRAND 2234,MARKET 09,"775,399,133"
,,,,,BRAND 2235,MARKET 72,"774,251,270"
,,,,,BRAND 2236,MARKET 03,"773,145,416"
,,,,,BRAND 2237,MARKET 01,"772,430,904"
,,,,,BRAND 2238,MARKET 15,"772,317,854"
,,,,,BRAND 2239,MARKET 15,"771,677,499"
,,,,,BRAND 2240,MARKET 56,"769,798,080"
,,,,,BRAND 2241,MARKET 08,"769,619,739"
,,,,,BRAND 2242,MARKET 42,"768,124,763"
,,,,,BRAND 2243,MARKET 170,"767,902,657"
,,,,,BRAND 2244,MARKET 32,"767,087,920"
,,,,,BRAND 2245,MARKET 30,"766,522,950"
,,,,,BRAND 2246,MARKET 32,"765,140,545"
,,,,,BRAND 2247,MARKET 23,"764,905,124"
,,,,,BRAND 2248,MARKET 201,"764,876,868"
,,,,,BRAND 2249,MARKET 33,"764,702,682"
,,,,,BRAND 2250,MARKET 62,"764,514,316"
,,,,,BRAND 2251,MARKET 115,"763,665,538"
,,,,,BRAND 2252,MARKET 88,"762,769,393"
,,,,,BRAND 2253,MARKET 30,"761,810,699"
,,,,,BRAND 2254,MARKET 23,"761,536,683"
,,,,,BRAND 2255,MARKET 101,"761,094,661"
,,,,,BRAND 2256,MARKET 27,"760,123,423"
,,,,,BRAND 2257,MARKET 67,"759,705,400"
,,,,,BRAND 2258,MARKET 55,"759,628,081"
,,,,,BRAND 2259,MARKET 14,"758,812,073"
,,,,,BRAND 2260,MARKET 27,"758,249,798"
,,,,,BRAND 2261,MARKET 23,"757,757,601"
,,,,,BRAND 2262,MARKET 32,"757,187,200"
,,,,,BRAND 2263,MARKET 19,"756,603,990"
,,,,,BRAND 2264,MARKET 09,"756,189,464"
,,,,,BRAND 2265,MARKET 55,"756,189,305"
,,,,,BRAND 2266,MARKET 74,"755,654,016"
,,,,,BRAND 2267,MARKET 102,"755,282,543"
,,,,,BRAND 2268,MARKET 15,"754,331,019"
,,,,,BRAND 2269,MARKET 15,"753,904,074"
,,,,,BRAND 2270,MARKET 24,"752,303,998"
,,,,,BRAND 2271,MARKET 52,"751,950,201"
,,,,,BRAND 2272,MARKET 17,"751,661,311"
,,,,,BRAND 2273,MARKET 03,"749,996,894"
,,,,,BRAND 2275,MARKET 18,"749,300,813"
,,,,,BRAND 2276,MARKET 01,"749,058,494"
,,,,,BRAND 2277,MARKET 100,"748,803,171"
,,,,,BRAND 2278,MARKET 70,"748,616,746"
,,,,,BRAND 2279,MARKET 35,"748,547,148"
,,,,,BRAND 2280,MARKET 32,"748,475,094"
,,,,,BRAND 2281,MARKET 13,"748,405,231"
,,,,,BRAND 2282,MARKET 09,"748,321,103"
,,,,,BRAND 2283,MARKET 18,"748,135,243"
,,,,,BRAND 2284,MARKET 17,"747,953,641"
,,,,,BRAND 2285,MARKET 10,"747,738,470"
,,,,,BRAND 2286,MARKET 27,"747,614,061"
,,,,,BRAND 2287,MARKET 32,"747,578,104"
,,,,,BRAND 2288,MARKET 48,"745,700,940"
,,,,,BRAND 2289,MARKET 131,"745,648,750"
,,,,,BRAND 2290,MARKET 15,"745,339,831"
,,,,,BRAND 2291,MARKET 09,"693,554,400"
,,,,,BRAND 2292,MARKET 48,"51,090,556"
,,,,,BRAND 2293,MARKET 37,"743,608,330"
,,,,,BRAND 2294,MARKET 102,"742,604,047"
,,,,,BRAND 2295,MARKET 15,"742,480,977"
,,,,,BRAND 2296,MARKET 70,"742,390,239"
,,,,,BRAND 2297,MARKET 10,"742,341,159"
,,,,,BRAND 2298,MARKET 13,"742,233,757"
,,,,,BRAND 2299,MARKET 31,"741,739,752"
,,,,,BRAND 2300,MARKET 32,"741,715,750"
,,,,,BRAND 2301,MARKET 30,"741,040,770"
,,,,,BRAND 2302,MARKET 32,"740,221,665"
,,,,,BRAND 2303,MARKET 40,"738,374,487"
,,,,,BRAND 2304,MARKET 245,"738,114,491"
,,,,,BRAND 2305,MARKET 72,"738,027,246"
,,,,,BRAND 2306,MARKET 199,"736,574,776"
,,,,,BRAND 2307,MARKET 15,"736,559,143"
,,,,,BRAND 2308,MARKET 108,"735,928,898"
,,,,,BRAND 2309,MARKET 19,"735,798,670"
,,,,,BRAND 2310,MARKET 26,"734,707,532"
,,,,,BRAND 2311,MARKET 17,"734,580,737"
,,,,,BRAND 2312,MARKET 116,"733,814,809"
,,,,,BRAND 2313,MARKET 74,"733,227,914"
,,,,,BRAND 2314,MARKET 30,"732,271,833"
,,,,,BRAND 2315,MARKET 53,"732,142,627"
,,,,,BRAND 2316,MARKET 11,"732,060,898"
,,,,,BRAND 2317,MARKET 72,"731,870,490"
,,,,,BRAND 2318,MARKET 31,"731,678,658"
,,,,,BRAND 2319,MARKET 18,"730,486,110"
,,,,,BRAND 2320,MARKET 13,"729,649,065"
,,,,,BRAND 2321,MARKET 96,"728,865,354"
,,,,,BRAND 2322,MARKET 10,"728,660,412"
,,,,,BRAND 2323,MARKET 03,"728,535,204"
,,,,,BRAND 2324,MARKET 16,"728,082,790"
,,,,,BRAND 2325,MARKET 23,"727,710,278"
,,,,,BRAND 2326,MARKET 62,"727,523,883"
,,,,,BRAND 2327,MARKET 17,"727,451,107"
,,,,,BRAND 2328,MARKET 16,"727,263,815"
,,,,,BRAND 2330,MARKET 31,"726,857,366"
,,,,,BRAND 2331,MARKET 17,"726,819,075"
,,,,,BRAND 2332,MARKET 100,"726,432,688"
,,,,,BRAND 2333,MARKET 17,"726,304,617"
,,,,,BRAND 2334,MARKET 88,"725,763,556"
,,,,,BRAND 2335,MARKET 09,"724,440,433"
,,,,,BRAND 2336,MARKET 35,"724,031,143"
,,,,,BRAND 2337,MARKET 142,"723,431,163"
,,,,,BRAND 2338,MARKET 78,"722,848,823"
,,,,,BRAND 2339,MARKET 15,"722,652,459"
,,,,,BRAND 2340,MARKET 82,"721,505,403"
,,,,,BRAND 2341,MARKET 10,"720,985,112"
,,,,,BRAND 2342,MARKET 18,"720,857,239"
,,,,,BRAND 2343,MARKET 115,"720,729,081"
,,,,,BRAND 2344,MARKET 75,"720,418,188"
,,,,,BRAND 2345,MARKET 09,"718,503,171"
,,,,,BRAND 2346,MARKET 75,"718,438,474"
,,,,,BRAND 2347,MARKET 49,"718,407,586"
,,,,,BRAND 2348,MARKET 13,"716,569,615"
,,,,,BRAND 2349,MARKET 23,"716,074,682"
,,,,,BRAND 2350,MARKET 70,"715,600,556"
,,,,,BRAND 2351,MARKET 128,"715,581,577"
,,,,,BRAND 2352,MARKET 35,"715,431,238"
,,,,,BRAND 2353,MARKET 17,"714,632,778"
,,,,,BRAND 2354,MARKET 42,"714,409,004"
,,,,,BRAND 2355,MARKET 81,"714,309,777"
,,,,,BRAND 2356,MARKET 09,"713,162,441"
,,,,,BRAND 2357,MARKET 165,"712,469,100"
,,,,,BRAND 2358,MARKET 33,"712,102,236"
,,,,,BRAND 2359,MARKET 88,"711,951,839"
,,,,,BRAND 2360,MARKET 09,"710,967,112"
,,,,,BRAND 2361,MARKET 11,"710,770,637"
,,,,,BRAND 2362,MARKET 31,"710,512,735"
,,,,,BRAND 2363,MARKET 30,"710,118,858"
,,,,,BRAND 2364,MARKET 19,"709,024,979"
,,,,,BRAND 2365,MARKET 18,"708,754,426"
,,,,,BRAND 2366,MARKET 17,"707,708,791"
,,,,,BRAND 2368,MARKET 13,"707,489,388"
,,,,,BRAND 2369,MARKET 53,"707,104,309"
,,,,,BRAND 2371,MARKET 06,"706,476,896"
,,,,,BRAND 2372,MARKET 165,"706,244,316"
,,,,,BRAND 2373,MARKET 10,"705,856,954"
,,,,,BRAND 2374,MARKET 10,"705,755,610"
,,,,,BRAND 2375,MARKET 30,"705,190,921"
,,,,,BRAND 2376,MARKET 23,"705,190,035"
,,,,,BRAND 2377,MARKET 103,"704,319,849"
,,,,,BRAND 2378,MARKET 14,"703,808,249"
,,,,,BRAND 2379,MARKET 11,"702,517,784"
,,,,,BRAND 2381,MARKET 23,"701,854,540"
,,,,,BRAND 2382,MARKET 08,"701,577,242"
,,,,,BRAND 2383,MARKET 13,"701,430,625"
,,,,,BRAND 2384,MARKET 27,"701,101,849"
,,,,,BRAND 2385,MARKET 37,"701,066,764"
,,,,,BRAND 2386,MARKET 39,"700,777,578"
,,,,,BRAND 2387,MARKET 03,"700,728,466"
,,,,,BRAND 2388,MARKET 48,"700,635,476"
,,,,,BRAND 2389,MARKET 11,"700,301,851"
,,,,,BRAND 2390,MARKET 04,"700,224,352"
,,,,,BRAND 2391,MARKET 60,"699,775,805"
,,,,,BRAND 2392,MARKET 23,"699,454,908"
,,,,,BRAND 2393,MARKET 13,"699,436,215"
,,,,,BRAND 2394,MARKET 33,"699,328,868"
,,,,,BRAND 2395,MARKET 10,"697,809,685"
,,,,,BRAND 2396,MARKET 32,"697,709,522"
,,,,,BRAND 2397,MARKET 91,"697,548,410"
,,,,,BRAND 2398,MARKET 27,"696,406,931"
,,,,,BRAND 2399,MARKET 08,"695,619,253"
,,,,,BRAND 2400,MARKET 08,"695,064,402"
,,,,,BRAND 2401,MARKET 14,"694,743,743"
,,,,,BRAND 2402,MARKET 31,"694,380,153"
,,,,,BRAND 2403,MARKET 10,"694,362,375"
,,,,,BRAND 2404,MARKET 10,"694,314,220"
,,,,,BRAND 2405,MARKET 01,"693,937,731"
,,,,,BRAND 2406,MARKET 15,"693,847,156"
,,,,,BRAND 2407,MARKET 40,"693,390,712"
,,,,,BRAND 2408,MARKET 17,"692,817,284"
,,,,,BRAND 2409,MARKET 03,"692,520,904"
,,,,,BRAND 2410,MARKET 11,"692,279,445"
,,,,,BRAND 2411,MARKET 09,"692,215,508"
,,,,,BRAND 2412,MARKET 09,"692,165,783"
,,,,,BRAND 2413,MARKET 82,"691,729,750"
,,,,,BRAND 2414,MARKET 17,"691,385,749"
,,,,,BRAND 2415,MARKET 23,"691,278,571"
,,,,,BRAND 2416,MARKET 128,"691,231,131"
,,,,,BRAND 2417,MARKET 133,"690,433,847"
,,,,,BRAND 2418,MARKET 104,"690,320,903"
,,,,,BRAND 2419,MARKET 121,"689,742,837"
,,,,,BRAND 2420,MARKET 55,"689,573,695"
,,,,,BRAND 2421,MARKET 03,"688,780,837"
,,,,,BRAND 2422,MARKET 13,"688,720,494"
,,,,,BRAND 2423,MARKET 13,"688,330,080"
,,,,,BRAND 2424,MARKET 55,"687,940,697"
,,,,,BRAND 2425,MARKET 101,"687,916,942"
,,,,,BRAND 2426,MARKET 112,"686,840,999"
,,,,,BRAND 2427,MARKET 90,"686,822,775"
,,,,,BRAND 2428,MARKET 88,"686,775,309"
,,,,,BRAND 2429,MARKET 27,"686,616,985"
,,,,,BRAND 2430,MARKET 16,"685,812,259"
,,,,,BRAND 2431,MARKET 04,"685,175,079"
,,,,,BRAND 2432,MARKET 93,"684,591,308"
,,,,,BRAND 2433,MARKET 42,"684,476,160"
,,,,,BRAND 2434,MARKET 52,"684,301,129"
,,,,,BRAND 2435,MARKET 03,"684,279,312"
,,,,,BRAND 2436,MARKET 40,"684,209,678"
,,,,,BRAND 2437,MARKET 89,"683,795,957"
,,,,,BRAND 2438,MARKET 10,"683,462,416"
,,,,,BRAND 2439,MARKET 100,"683,374,323"
,,,,,BRAND 2440,MARKET 11,"683,371,209"
,,,,,BRAND 2442,MARKET 110,"682,640,624"
,,,,,BRAND 2443,MARKET 13,"681,153,859"
,,,,,BRAND 2444,MARKET 03,"681,140,159"
,,,,,BRAND 2445,MARKET 112,"680,811,031"
,,,,,BRAND 2446,MARKET 11,"680,248,128"
,,,,,BRAND 2447,MARKET 17,"679,848,104"
,,,,,BRAND 2448,MARKET 123,"679,536,682"
,,,,,BRAND 2449,MARKET 11,"679,011,680"
,,,,,BRAND 2450,MARKET 31,"678,825,086"
,,,,,BRAND 2451,MARKET 49,"678,070,575"
,,,,,BRAND 2452,MARKET 10,"677,036,147"
,,,,,BRAND 2454,MARKET 161,"676,000,270"
,,,,,BRAND 2455,MARKET 33,"675,368,020"
,,,,,BRAND 2456,MARKET 14,"674,908,769"
,,,,,BRAND 2457,MARKET 15,"674,328,771"
,,,,,BRAND 2458,MARKET 62,"673,883,791"
,,,,,BRAND 2459,MARKET 23,"673,054,881"
,,,,,BRAND 2461,MARKET 16,"672,576,021"
,,,,,BRAND 2462,MARKET 15,"672,556,418"
,,,,,BRAND 2463,MARKET 09,"671,988,578"
,,,,,BRAND 2464,MARKET 10,"671,961,104"
,,,,,BRAND 2465,MARKET 20,"670,667,502"
,,,,,BRAND 2467,MARKET 35,"669,775,120"
,,,,,BRAND 2468,MARKET 15,"669,299,928"
,,,,,BRAND 2469,MARKET 10,"669,298,624"
,,,,,BRAND 2470,MARKET 88,"669,058,487"
,,,,,BRAND 2471,MARKET 23,"668,949,469"
,,,,,BRAND 2472,MARKET 15,"668,713,781"
,,,,,BRAND 2474,MARKET 78,"668,084,426"
,,,,,BRAND 2476,MARKET 10,"667,722,455"
,,,,,BRAND 2477,MARKET 09,"667,680,926"
,,,,,BRAND 2479,MARKET 35,"666,328,271"
,,,,,BRAND 2480,MARKET 33,"664,284,850"
,,,,,BRAND 2481,MARKET 201,"664,260,092"
,,,,,BRAND 2482,MARKET 75,"663,675,946"
,,,,,BRAND 2483,MARKET 55,"663,502,519"
,,,,,BRAND 2484,MARKET 23,"662,878,975"
,,,,,BRAND 2485,MARKET 11,"662,467,222"
,,,,,BRAND 2486,MARKET 31,"661,811,811"
,,,,,BRAND 2487,MARKET 08,"661,635,344"
,,,,,BRAND 2488,MARKET 01,"660,285,417"
,,,,,BRAND 2489,MARKET 11,"659,970,773"
,,,,,BRAND 2490,MARKET 03,"658,378,992"
,,,,,BRAND 2491,MARKET 17,"656,395,860"
,,,,,BRAND 2492,MARKET 89,"656,349,617"
,,,,,BRAND 2493,MARKET 10,"656,176,318"
,,,,,BRAND 2494,MARKET 12,"655,766,890"
,,,,,BRAND 2495,MARKET 101,"655,409,428"
,,,,,BRAND 2496,MARKET 75,"655,202,191"
,,,,,BRAND 2497,MARKET 13,"654,610,673"
,,,,,BRAND 2498,MARKET 32,"654,491,957"
,,,,,BRAND 2499,MARKET 11,"654,461,641"
,,,,,BRAND 2500,MARKET 23,"654,210,591"
,,,,,BRAND 2501,MARKET 90,"654,005,953"
,,,,,BRAND 2502,MARKET 96,"653,627,185"
,,,,,BRAND 2503,MARKET 23,"653,532,304"
,,,,,BRAND 2504,MARKET 60,"653,280,585"
,,,,,BRAND 2505,MARKET 20,"653,268,171"
,,,,,BRAND 2506,MARKET 08,"653,154,637"
,,,,,BRAND 2507,MARKET 08,"652,344,134"
,,,,,BRAND 2508,MARKET 71,"652,124,619"
,,,,,BRAND 2509,MARKET 23,"650,487,236"
,,,,,BRAND 2510,MARKET 08,"650,056,101"
,,,,,BRAND 2511,MARKET 33,"649,431,002"
,,,,,BRAND 2512,MARKET 09,"648,899,854"
,,,,,BRAND 2513,MARKET 15,"648,660,310"
,,,,,BRAND 2514,MARKET 40,"648,336,816"
,,,,,BRAND 2515,MARKET 93,"648,318,350"
,,,,,BRAND 2516,MARKET 43,"647,809,632"
,,,,,BRAND 2517,MARKET 53,"647,354,204"
,,,,,BRAND 2518,MARKET 11,"647,243,280"
,,,,,BRAND 2519,MARKET 08,"647,006,672"
,,,,,BRAND 2520,MARKET 123,"646,652,440"
,,,,,BRAND 2521,MARKET 09,"646,196,496"
,,,,,BRAND 2522,MARKET 72,"646,062,680"
,,,,,BRAND 2523,MARKET 61,"645,453,627"
,,,,,BRAND 2524,MARKET 23,"645,281,546"
,,,,,BRAND 2525,MARKET 89,"645,132,842"
,,,,,BRAND 2526,MARKET 09,"644,922,501"
,,,,,BRAND 2527,MARKET 131,"644,921,060"
,,,,,BRAND 2528,MARKET 112,"644,697,287"
,,,,,BRAND 2529,MARKET 50,"644,679,618"
,,,,,BRAND 2530,MARKET 15,"643,706,700"
,,,,,BRAND 2531,MARKET 08,"643,537,913"
,,,,,BRAND 2532,MARKET 33,"642,456,837"
,,,,,BRAND 2533,MARKET 31,"642,091,930"
,,,,,BRAND 2534,MARKET 09,"642,091,586"
,,,,,BRAND 2535,MARKET 11,"641,395,732"
,,,,,BRAND 2536,MARKET 33,"641,073,960"
,,,,,BRAND 2537,MARKET 11,"641,044,750"
,,,,,BRAND 2538,MARKET 09,"640,789,621"
,,,,,BRAND 2539,MARKET 93,"640,766,707"
,,,,,BRAND 2540,MARKET 03,"640,506,107"
,,,,,BRAND 2541,MARKET 01,"639,919,889"
,,,,,BRAND 2542,MARKET 100,"639,735,055"
,,,,,BRAND 2543,MARKET 31,"639,595,279"
,,,,,BRAND 2544,MARKET 13,"638,914,682"
,,,,,BRAND 2545,MARKET 42,"638,642,791"
,,,,,BRAND 2546,MARKET 34,"637,800,974"
,,,,,BRAND 2547,MARKET 35,"637,550,968"
,,,,,BRAND 2548,MARKET 90,"637,423,332"
,,,,,BRAND 2549,MARKET 32,"637,274,088"
,,,,,BRAND 2550,MARKET 26,"637,195,092"
,,,,,BRAND 2551,MARKET 120,"637,189,192"
,,,,,BRAND 2552,MARKET 08,"636,944,537"
,,,,,BRAND 2553,MARKET 11,"636,329,474"
,,,,,BRAND 2554,MARKET 03,"635,555,466"
,,,,,BRAND 2555,MARKET 09,"635,363,927"
,,,,,BRAND 2556,MARKET 13,"635,091,857"
,,,,,BRAND 2557,MARKET 62,"634,810,003"
,,,,,BRAND 2558,MARKET 42,"634,650,018"
,,,,,BRAND 2559,MARKET 23,"634,156,553"
,,,,,BRAND 2560,MARKET 103,"338,111,201"
,,,,,BRAND 2561,MARKET 238,"296,028,359"
,,,,,BRAND 2562,MARKET 32,"633,869,853"
,,,,,BRAND 2563,MARKET 16,"633,613,227"
,,,,,BRAND 2564,MARKET 88,"633,363,844"
,,,,,BRAND 2565,MARKET 23,"632,967,720"
,,,,,BRAND 2566,MARKET 09,"632,080,638"
,,,,,BRAND 2567,MARKET 10,"631,902,828"
,,,,,BRAND 2568,MARKET 93,"631,508,781"
,,,,,BRAND 2569,MARKET 89,"631,263,752"
,,,,,BRAND 2570,MARKET 08,"631,036,232"
,,,,,BRAND 2571,MARKET 11,"630,685,744"
,,,,,BRAND 2572,MARKET 03,"630,390,038"
,,,,,BRAND 2573,MARKET 36,"630,207,610"
,,,,,BRAND 2574,MARKET 33,"630,161,645"
,,,,,BRAND 2575,MARKET 42,"630,117,877"
,,,,,BRAND 2576,MARKET 72,"629,428,100"
,,,,,BRAND 2577,MARKET 101,"629,131,552"
,,,,,BRAND 2578,MARKET 53,"628,866,274"
,,,,,BRAND 2579,MARKET 11,"628,718,885"
,,,,,BRAND 2580,MARKET 06,"628,597,829"
,,,,,BRAND 2581,MARKET 06,"628,340,918"
,,,,,BRAND 2582,MARKET 11,"627,958,196"
,,,,,BRAND 2583,MARKET 72,"625,970,090"
,,,,,BRAND 2584,MARKET 11,"625,920,977"
,,,,,BRAND 2585,MARKET 88,"625,819,195"
,,,,,BRAND 2586,MARKET 11,"625,002,000"
,,,,,BRAND 2587,MARKET 23,"624,968,813"
,,,,,BRAND 2588,MARKET 03,"624,637,595"
,,,,,BRAND 2589,MARKET 03,"624,043,211"
,,,,,BRAND 2590,MARKET 35,"623,902,432"
,,,,,BRAND 2591,MARKET 23,"623,505,861"
,,,,,BRAND 2592,MARKET 15,"623,393,565"
,,,,,BRAND 2593,MARKET 27,"621,852,468"
,,,,,BRAND 2594,MARKET 33,"621,829,035"
,,,,,BRAND 2595,MARKET 75,"621,617,912"
,,,,,BRAND 2596,MARKET 18,"621,610,946"
,,,,,BRAND 2597,MARKET 08,"620,752,865"
,,,,,BRAND 2598,MARKET 55,"620,642,673"
,,,,,BRAND 2599,MARKET 10,"620,561,368"
,,,,,BRAND 2600,MARKET 80,"619,958,712"
,,,,,BRAND 2601,MARKET 03,"619,485,130"
,,,,,BRAND 2602,MARKET 39,"619,079,704"
,,,,,BRAND 2603,MARKET 13,"618,113,616"
,,,,,BRAND 2604,MARKET 90,"616,992,624"
,,,,,BRAND 2605,MARKET 67,"615,515,874"
,,,,,BRAND 2606,MARKET 08,"615,380,219"
,,,,,BRAND 2607,MARKET 99,"615,309,471"
,,,,,BRAND 2608,MARKET 115,"613,947,252"
,,,,,BRAND 2609,MARKET 30,"613,539,900"
,,,,,BRAND 2610,MARKET 89,"613,257,689"
,,,,,BRAND 2611,MARKET 131,"613,168,304"
,,,,,BRAND 2612,MARKET 55,"612,881,148"
,,,,,BRAND 2613,MARKET 21,"612,830,204"
,,,,,BRAND 2614,MARKET 27,"612,544,027"
,,,,,BRAND 2615,MARKET 15,"612,352,713"
,,,,,BRAND 2616,MARKET 156,"612,233,373"
,,,,,BRAND 2617,MARKET 33,"610,981,126"
,,,,,BRAND 2618,MARKET 10,"609,940,724"
,,,,,BRAND 2619,MARKET 03,"609,595,640"
,,,,,BRAND 2620,MARKET 23,"608,943,609"
,,,,,BRAND 2621,MARKET 86,"608,880,730"
,,,,,BRAND 2622,MARKET 89,"608,851,450"
,,,,,BRAND 2623,MARKET 39,"608,806,087"
,,,,,BRAND 2624,MARKET 16,"608,235,642"
,,,,,BRAND 2625,MARKET 11,"607,391,399"
,,,,,BRAND 2626,MARKET 03,"607,071,069"
,,,,,BRAND 2627,MARKET 88,"607,000,820"
,,,,,BRAND 2628,MARKET 17,"606,694,406"
,,,,,BRAND 2629,MARKET 106,"605,957,936"
,,,,,BRAND 2630,MARKET 42,"605,142,900"
,,,,,BRAND 2631,MARKET 13,"592,729,353"
,,,,,BRAND 2632,MARKET 33,"12,149,222"
,,,,,BRAND 2633,MARKET 17,"603,791,760"
,,,,,BRAND 2634,MARKET 09,"603,680,896"
,,,,,BRAND 2635,MARKET 09,"602,795,139"
,,,,,BRAND 2636,MARKET 03,"602,612,947"
,,,,,BRAND 2637,MARKET 13,"602,430,311"
,,,,,BRAND 2638,MARKET 106,"601,960,612"
,,,,,BRAND 2639,MARKET 27,"601,272,641"
,,,,,BRAND 2640,MARKET 09,"600,831,738"
,,,,,BRAND 2641,MARKET 40,"600,341,414"
,,,,,BRAND 2642,MARKET 13,"599,854,011"
,,,,,BRAND 2643,MARKET 31,"599,846,040"
,,,,,BRAND 2644,MARKET 03,"599,753,861"
,,,,,BRAND 2645,MARKET 09,"599,535,626"
,,,,,BRAND 2646,MARKET 35,"599,277,661"
,,,,,BRAND 2647,MARKET 55,"598,647,609"
,,,,,BRAND 2648,MARKET 96,"598,155,096"
,,,,,BRAND 2649,MARKET 127,"597,679,817"
,,,,,BRAND 2650,MARKET 32,"597,674,357"
,,,,,BRAND 2651,MARKET 33,"597,506,730"
,,,,,BRAND 2652,MARKET 03,"597,404,990"
,,,,,BRAND 2653,MARKET 49,"596,866,721"
,,,,,BRAND 2654,MARKET 40,"596,240,343"
,,,,,BRAND 2655,MARKET 112,"595,987,456"
,,,,,BRAND 2656,MARKET 13,"595,762,869"
,,,,,BRAND 2657,MARKET 13,"595,119,189"
,,,,,BRAND 2658,MARKET 24,"595,091,440"
,,,,,BRAND 2659,MARKET 31,"594,541,512"
,,,,,BRAND 2660,MARKET 115,"594,530,393"
,,,,,BRAND 2661,MARKET 03,"594,121,078"
,,,,,BRAND 2662,MARKET 26,"593,947,491"
,,,,,BRAND 2663,MARKET 57,"593,243,432"
,,,,,BRAND 2664,MARKET 42,"593,187,284"
,,,,,BRAND 2665,MARKET 72,"593,086,886"
,,,,,BRAND 2666,MARKET 10,"592,680,000"
,,,,,BRAND 2667,MARKET 62,"592,662,698"
,,,,,BRAND 2668,MARKET 10,"592,451,825"
,,,,,BRAND 2669,MARKET 43,"592,250,774"
,,,,,BRAND 2670,MARKET 33,"592,049,129"
,,,,,BRAND 2671,MARKET 177,"591,964,200"
,,,,,BRAND 2672,MARKET 23,"591,272,580"
,,,,,BRAND 2673,MARKET 08,"590,168,834"
,,,,,BRAND 2675,MARKET 15,"589,304,233"
,,,,,BRAND 2676,MARKET 75,"589,071,666"
,,,,,BRAND 2677,MARKET 27,"588,830,177"
,,,,,BRAND 2678,MARKET 30,"588,335,295"
,,,,,BRAND 2679,MARKET 23,"588,039,991"
,,,,,BRAND 2680,MARKET 53,"587,996,357"
,,,,,BRAND 2681,MARKET 27,"587,874,848"
,,,,,BRAND 2682,MARKET 13,"546,376,212"
,,,,,BRAND 2683,MARKET 33,"41,100,622"
,,,,,BRAND 2685,MARKET 03,"586,871,864"
,,,,,BRAND 2686,MARKET 11,"586,759,357"
,,,,,BRAND 2687,MARKET 01,"586,538,722"
,,,,,BRAND 2688,MARKET 142,"586,434,881"
,,,,,BRAND 2689,MARKET 17,"586,339,686"
,,,,,BRAND 2690,MARKET 108,"586,031,582"
,,,,,BRAND 2691,MARKET 11,"585,714,004"
,,,,,BRAND 2692,MARKET 09,"584,996,814"
,,,,,BRAND 2693,MARKET 61,"584,938,346"
,,,,,BRAND 2694,MARKET 10,"584,418,357"
,,,,,BRAND 2695,MARKET 35,"584,397,876"
